"town","year","change","prev_year","change1","prev2_year","change2","prev3_year","change3","prev4_year","change4"
"Bridgeport","2022","943","2021","-608","2020","-742","2019","89","2018","-45"
"Hamden","2022","630","2021","-406","2020","-216","2019","-98","2018","-37"
"Fairfield","2022","571","2021","-722","2020","-77","2019","38","2018","-58"
"Southington","2022","437","2021","-391","2020","-167","2019","-32","2018","-14"
"West Haven","2022","408","2021","-112","2020","-369","2019","-50","2018","8"
"Wallingford","2022","387","2021","-278","2020","-282","2019","35","2018","-28"
"Westport","2022","348","2021","-225","2020","-68","2019","-68","2018","-57"
"New Milford","2022","314","2021","-181","2020","-185","2019","-88","2018","78"
"Newington","2022","283","2021","-123","2020","-157","2019","-48","2018","-29"
"Ledyard","2022","170","2021","-138","2020","-79","2019","4","2018","2"
"East Hampton","2022","152","2021","-172","2020","1","2019","-47","2018","28"
"Ellington","2022","147","2021","-145","2020","-28","2019","-15","2018","-19"
"Seymour","2022","140","2021","-85","2020","-111","2019","4","2018","2"
"Clinton","2022","119","2021","-150","2020","-52","2019","2","2018","10"
"Stafford","2022","114","2021","-14","2020","-154","2019","-36","2018","89"
"Oxford","2022","105","2021","-97","2020","-75","2019","9","2018","20"
"North Branford","2022","93","2021","-71","2020","-10","2019","5","2018","26"
"Somers","2022","83","2021","-67","2020","-36","2019","-5","2018","12"
"Prospect","2022","82","2021","-73","2020","-76","2019","1","2018","15"
"North Stonington","2022","79","2021","-18","2020","-40","2019","-15","2018","-11"
"Haddam","2022","70","2021","-83","2020","3","2019","-19","2018","-17"
"Brooklyn","2022","70","2021","-101","2020","-15","2019","-11","2018","23"
"Marlborough","2022","59","2021","-51","2020","-34","2019","19","2018","-27"
"Canterbury","2022","56","2021","-53","2020","-29","2019","19","2018","-8"
"Voluntown","2022","55","2021","-30","2020","-15","2019","11","2018","-8"
"Derby","2022","41","2021","-45","2020","16","2019","-26","2018","23"
"Salisbury","2022","41","2021","-64","2020","20","2019","-18","2018","-13"
"Durham","2022","37","2021","-77","2020","-24","2019","-2","2018","11"
"Middlebury","2021","33","2020","2","2019","21","2018","113","2017","-69"
"Deep River","2022","31","2021","-29","2020","-52","2019","23","2018","4"
"Pomfret","2022","29","2021","-52","2020","-10","2019","18","2018","-12"
"Hartford","2021","28","2020","-46","2019","44","2018","725","2017","-382"
"Griswold","2021","23","2020","18","2019","2","2018","169","2017","-107"
"Greenwich","2021","20","2020","377","2019","-84","2018","12","2017","781"
"Montville","2021","13","2020","-58","2019","28","2018","298","2017","-228"
"Hartland","2022","5","2021","-5","2020","-14","2019","-2","2018","3"
"Andover","2021","2","2020","-18","2019","-6","2018","63","2017","-27"
"Woodstock","2021","1","2020","-11","2019","-26","2018","140","2017","-103"
"Colebrook","2022","0","2021","-2","2020","25","2019","-1","2018","-13"
"Plymouth","2021","-2","2020","-27","2019","-26","2018","223","2017","-84"
"Lisbon","2021","-3","2020","0","2019","-6","2018","73","2017","-23"
"Salem","2021","-3","2020","19","2019","-20","2018","1","2017","15"
"Sprague","2022","-5","2021","6","2020","-9","2019","45","2018","-17"
"Canaan","2022","-5","2021","2","2020","-1","2019","29","2018","-18"
"Eastford","2022","-6","2021","-2","2020","37","2019","-6","2018","-11"
"Barkhamsted","2022","-7","2021","-19","2020","82","2019","-50","2018","9"
"Thomaston","2021","-7","2020","14","2019","7","2018","7","2017","9"
"Union","2022","-7","2021","13","2020","-6","2018","-4","2017","14"
"Chaplin","2022","-9","2021","-9","2020","44","2019","-28","2018","-5"
"Bozrah","2022","-9","2021","-2","2020","-1","2019","29","2018","-7"
"Woodbridge","2022","-9","2021","37","2020","-15","2019","-17","2018","11"
"Norfolk","2022","-9","2021","-4","2020","36","2019","-13","2018","-17"
"Hampton","2022","-10","2021","-5","2020","37","2019","-17","2018","-5"
"Westbrook","2021","-11","2020","23","2019","-24","2018","135","2017","-73"
"Bridgewater","2022","-13","2021","-5","2020","22","2019","-2","2018","25"
"Scotland","2022","-13","2021","10","2020","19","2019","-12","2018","-11"
"Vernon","2021","-15","2020","-32","2019","1","2018","406","2017","-231"
"Warren","2022","-18","2021","-11","2020","34","2019","16","2018","-15"
"Cornwall","2021","-18","2020","16","2019","5","2018","30","2017","-25"
"Beacon Falls","2021","-21","2020","-16","2019","27","2018","111","2017","-58"
"Morris","2022","-24","2021","2","2020","24","2019","1","2018","6"
"Chester","2022","-25","2021","-4","2020","61","2019","-19","2018","-23"
"Franklin","2022","-26","2021","5","2020","45","2019","-11","2018","-7"
"Bolton","2022","-26","2021","-4","2020","78","2019","-48","2018","-10"
"Sterling","2022","-28","2021","28","2020","-37","2019","102","2018","-44"
"Bethlehem","2022","-28","2021","-1","2020","69","2019","-21","2018","-8"
"Colchester","2021","-30","2020","46","2019","17","2018","190","2017","-122"
"Sherman","2022","-30","2021","-15","2020","100","2019","-53","2018","-14"
"Lyme","2022","-33","2021","9","2020","50","2019","-26","2018","-13"
"East Granby","2022","-34","2021","9","2020","9","2019","14","2018","0"
"Preston","2022","-36","2021","20","2020","25","2019","61","2018","-41"
"New Hartford","2022","-36","2021","5","2020","17","2019","9","2018","-15"
"Willington","2022","-37","2021","25","2020","66","2019","-44","2018","-11"
"Killingworth","2021","-37","2020","35","2019","-24","2018","112","2017","-68"
"Ashford","2021","-40","2020","24","2019","-7","2018","52","2017","-36"
"Washington","2022","-43","2021","-31","2020","126","2019","-55","2018","-21"
"North Canaan","2022","-43","2021","35","2020","13","2019","33","2018","-12"
"Roxbury","2022","-44","2021","-3","2020","36","2019","35","2018","-19"
"Shelton","2021","-45","2020","-5","2019","52","2018","50","2017","-31"
"Columbia","2021","-45","2020","26","2019","0","2018","73","2017","-35"
"Goshen","2022","-46","2021","1","2020","26","2019","79","2018","-54"
"Middlefield","2022","-47","2021","29","2020","4","2019","0","2018","62"
"Harwinton","2022","-50","2021","11","2020","96","2019","-25","2018","-41"
"Kent","2022","-51","2021","-16","2020","96","2019","-26","2018","-2"
"Sharon","2022","-63","2021","18","2020","99","2019","-32","2018","-38"
"Meriden","2021","-70","2020","55","2019","61","2018","-26","2017","53"
"Burlington","2022","-72","2021","-49","2020","83","2019","-16","2018","40"
"Bethany","2022","-72","2021","6","2020","98","2019","-39","2018","-19"
"Easton","2022","-74","2021","-14","2020","55","2019","-11","2018","7"
"Lebanon","2022","-77","2021","-5","2020","132","2019","-59","2018","-77"
"Essex","2022","-78","2021","-20","2020","190","2019","-95","2018","-18"
"Windham","2022","-80","2021","123","2020","194","2019","-213","2018","-59"
"Mansfield","2022","-83","2021","245","2020","-113","2019","-99","2018","24"
"Portland","2022","-83","2021","56","2020","1","2019","-8","2018","14"
"Trumbull","2021","-84","2020","36","2019","-1","2018","48","2017","411"
"Putnam","2022","-84","2021","173","2020","-77","2019","-68","2018","-11"
"Groton","2021","-85","2020","31","2019","11","2018","481","2017","-337"
"Hebron","2021","-85","2020","71","2019","-21","2018","127","2017","-82"
"Manchester","2021","-86","2020","62","2019","-98","2018","758","2017","-429"
"Litchfield","2022","-87","2021","-32","2020","230","2019","-76","2018","-48"
"East Haven","2021","-88","2020","38","2019","-18","2018","451","2017","-263"
"Watertown","2022","-90","2021","117","2020","268","2019","-217","2018","-111"
"Ansonia","2022","-97","2021","55","2020","43","2019","-10","2018","-26"
"Windsor Locks","2022","-97","2021","109","2020","135","2019","-148","2018","-60"
"Canton","2022","-99","2021","5","2020","194","2019","-87","2018","-78"
"East Haddam","2022","-103","2021","-10","2020","70","2019","152","2018","-107"
"Weston","2022","-106","2021","62","2020","221","2019","-113","2018","-52"
"Brookfield","2021","-111","2020","57","2019","17","2018","256","2017","-170"
"East Lyme","2021","-116","2020","53","2019","26","2018","301","2017","-167"
"Berlin","2022","-116","2021","36","2020","-60","2019","323","2018","-180"
"Thompson","2022","-116","2021","202","2020","-79","2019","-55","2018","-24"
"Redding","2022","-117","2021","34","2020","91","2019","100","2018","-88"
"Suffield","2022","-118","2021","31","2020","272","2019","-150","2018","-60"
"East Hartford","2021","-120","2020","-23","2019","5","2018","-102","2017","152"
"Old Lyme","2022","-121","2021","220","2020","-128","2019","-29","2018","-2"
"Granby","2022","-124","2021","-4","2020","56","2019","174","2018","-119"
"Winchester","2022","-124","2021","115","2020","-7","2019","-14","2018","-4"
"Milford","2021","-124","2020","32","2019","-94","2018","882","2017","-555"
"Tolland","2022","-130","2021","285","2020","-116","2019","-36","2018","-7"
"Rocky Hill","2022","-132","2021","94","2020","162","2019","-227","2018","-28"
"New London","2022","-133","2021","130","2020","271","2019","-296","2018","10"
"East Windsor","2022","-133","2021","25","2020","28","2019","174","2018","-100"
"Killingly","2022","-134","2021","91","2020","275","2019","-278","2018","-58"
"New Fairfield","2022","-135","2021","217","2020","-48","2019","-63","2018","-37"
"Coventry","2022","-137","2021","243","2020","-109","2019","-77","2018","-31"
"Cromwell","2022","-139","2021","128","2020","-16","2019","224","2018","-139"
"Woodbury","2022","-140","2021","126","2020","141","2019","-100","2018","-73"
"Bloomfield","2022","-145","2021","314","2020","-96","2019","-102","2018","-25"
"North Haven","2022","-146","2021","95","2020","20","2019","19","2018","-23"
"Avon","2022","-149","2021","27","2020","370","2019","-201","2018","-80"
"Enfield","2021","-152","2020","73","2019","77","2018","511","2017","-372"
"Wolcott","2022","-173","2021","148","2020","-26","2019","5","2018","12"
"Plainfield","2022","-178","2021","171","2020","-2","2019","222","2018","-155"
"Old Saybrook","2022","-178","2021","62","2020","234","2019","-121","2018","-129"
"Cheshire","2022","-185","2021","58","2020","384","2019","-310","2018","-81"
"Monroe","2022","-193","2021","82","2020","50","2019","10","2018","-18"
"Guilford","2022","-201","2021","41","2020","76","2019","351","2018","-234"
"Wilton","2022","-208","2021","105","2020","338","2019","-172","2018","-90"
"South Windsor","2022","-209","2021","60","2020","33","2019","461","2018","-270"
"Bethel","2022","-209","2021","27","2020","48","2019","316","2018","-176"
"Windsor","2022","-211","2021","231","2020","344","2019","-309","2018","-127"
"Madison","2022","-217","2021","4","2020","420","2019","-279","2018","-64"
"Stonington","2022","-231","2021","75","2020","60","2019","275","2018","-189"
"Waterford","2022","-249","2021","204","2020","-39","2019","339","2018","-194"
"Simsbury","2022","-250","2021","119","2020","20","2019","374","2018","-283"
"Southbury","2022","-253","2021","-12","2020","96","2019","420","2018","-329"
"Darien","2022","-257","2021","65","2020","448","2019","-202","2018","-111"
"Wethersfield","2022","-266","2021","247","2020","322","2019","-288","2018","-115"
"Ridgefield","2022","-273","2021","-9","2020","279","2019","322","2018","-289"
"Branford","2022","-281","2021","551","2020","-249","2019","-188","2018","70"
"Norwich","2022","-297","2021","247","2020","614","2019","-372","2018","-157"
"Naugatuck","2022","-304","2021","164","2020","496","2019","-256","2018","-167"
"Farmington","2022","-306","2021","128","2020","122","2019","366","2018","-246"
"New Canaan","2022","-320","2021","157","2020","427","2019","-200","2018","-118"
"Plainville","2022","-327","2021","64","2020","25","2019","-11","2018","249"
"Newtown","2022","-338","2021","82","2020","171","2019","368","2018","-246"
"Glastonbury","2022","-341","2021","121","2020","8","2019","541","2018","-334"
"Torrington","2022","-367","2021","732","2020","-308","2019","-181","2018","111"
"Bristol","2022","-369","2021","160","2020","140","2019","806","2018","-441"
"Middletown","2022","-385","2021","280","2020","-34","2019","587","2018","-371"
"New Britain","2022","-415","2021","316","2020","-18","2019","737","2018","-487"
"New Haven","2022","-416","2021","380","2020","-57","2019","126","2018","775"
"Stratford","2022","-434","2021","882","2020","-512","2019","-270","2018","143"
"West Hartford","2022","-485","2021","481","2020","-133","2019","5","2018","809"
"Danbury","2022","-520","2021","281","2020","64","2019","937","2018","-526"
"Waterbury","2022","-694","2021","767","2020","30","2019","1176","2018","-644"
"Norwalk","2022","-708","2021","479","2020","1159","2019","-845","2018","-296"
"Stamford","2022","-896","2021","712","2020","190","2019","1312","2018","-1110"
