"town","prev4_year","prev4_transactions","prev3_year","prev3_transactions","prev2_year","prev2_transactions","prev_year","prev_transactions","year","transactions"
"Stamford","2018","457","2019","1769","2020","1959","2021","2671","2022","1775"
"Waterbury","2018","443","2019","1619","2020","1649","2021","2416","2022","1722"
"Bridgeport","2018","1932","2019","2021","2020","1279","2021","671","2022","1614"
"Greenwich","2017","1008","2018","1020","2019","936","2020","1313","2021","1333"
"Norwalk","2018","1135","2019","290","2020","1449","2021","1928","2022","1220"
"Danbury","2018","347","2019","1284","2020","1348","2021","1629","2022","1109"
"Bristol","2018","285","2019","1091","2020","1231","2021","1391","2022","1022"
"New Haven","2018","979","2019","1105","2020","1048","2021","1428","2022","1012"
"Hartford","2017","229","2018","954","2019","998","2020","952","2021","980"
"Hamden","2018","1058","2019","960","2020","744","2021","338","2022","968"
"Meriden","2017","925","2018","899","2019","960","2020","1015","2021","945"
"West Hartford","2018","1065","2019","1070","2020","937","2021","1418","2022","933"
"Milford","2017","232","2018","1114","2019","1020","2020","1052","2021","928"
"Manchester","2017","267","2018","1025","2019","927","2020","989","2021","903"
"Stratford","2018","1209","2019","939","2020","427","2021","1309","2022","875"
"New Britain","2018","249","2019","986","2020","968","2021","1284","2022","869"
"Fairfield","2018","1058","2019","1096","2020","1019","2021","297","2022","868"
"Norwich","2018","577","2019","205","2020","819","2021","1066","2022","769"
"Shelton","2017","669","2018","719","2019","771","2020","766","2021","721"
"East Hartford","2017","936","2018","834","2019","839","2020","816","2021","696"
"Torrington","2018","818","2019","637","2020","329","2021","1061","2022","694"
"Enfield","2017","183","2018","694","2019","771","2020","844","2021","692"
"Southington","2018","841","2019","809","2020","642","2021","251","2022","688"
"West Haven","2018","795","2019","745","2020","376","2021","264","2022","672"
"Middletown","2018","202","2019","789","2020","755","2021","1035","2022","650"
"Wallingford","2018","753","2019","788","2020","506","2021","228","2022","615"
"Groton","2017","145","2018","626","2019","637","2020","668","2021","583"
"Trumbull","2017","557","2018","605","2019","604","2020","640","2021","556"
"East Haven","2017","146","2018","597","2019","579","2020","617","2021","529"
"New Milford","2018","660","2019","572","2020","387","2021","206","2022","520"
"Westport","2018","527","2019","459","2020","391","2021","166","2022","514"
"Glastonbury","2018","178","2019","719","2020","727","2021","848","2022","507"
"Branford","2018","657","2019","469","2020","220","2021","771","2022","490"
"Naugatuck","2018","386","2019","130","2020","626","2021","790","2022","486"
"Vernon","2017","123","2018","529","2019","530","2020","498","2021","483"
"South Windsor","2018","128","2019","589","2020","622","2021","682","2022","473"
"Newington","2018","499","2019","451","2020","294","2021","171","2022","454"
"Windsor","2018","392","2019","83","2020","427","2021","658","2022","447"
"Ridgefield","2018","110","2019","432","2020","711","2021","702","2022","429"
"Farmington","2018","116","2019","482","2020","604","2021","732","2022","426"
"Newtown","2018","129","2019","497","2020","668","2021","750","2022","412"
"Wethersfield","2018","375","2019","87","2020","409","2021","656","2022","390"
"East Lyme","2017","115","2018","416","2019","442","2020","495","2021","379"
"Southbury","2018","124","2019","544","2020","640","2021","628","2022","375"
"Cheshire","2018","427","2019","117","2020","501","2021","559","2022","374"
"New London","2018","397","2019","101","2020","372","2021","502","2022","369"
"Watertown","2018","290","2019","73","2020","341","2021","458","2022","368"
"Guilford","2018","101","2019","452","2020","528","2021","569","2022","368"
"Simsbury","2018","94","2019","468","2020","488","2021","607","2022","357"
"Waterford","2018","101","2019","440","2020","401","2021","605","2022","356"
"Avon","2018","308","2019","107","2020","477","2021","504","2022","355"
"Montville","2017","72","2018","370","2019","398","2020","340","2021","353"
"Killingly","2018","394","2019","116","2020","391","2021","482","2022","348"
"North Haven","2018","356","2019","375","2020","395","2021","490","2022","344"
"New Canaan","2018","280","2019","80","2020","507","2021","664","2022","344"
"Darien","2018","273","2019","71","2020","519","2021","584","2022","327"
"Brookfield","2017","96","2018","352","2019","369","2020","426","2021","315"
"Stonington","2018","124","2019","399","2020","459","2021","534","2022","303"
"Ledyard","2018","337","2019","341","2020","262","2021","124","2022","294"
"Berlin","2018","105","2019","428","2020","368","2021","404","2022","288"
"Madison","2018","358","2019","79","2020","499","2021","503","2022","286"
"Plainfield","2018","72","2019","294","2020","292","2021","463","2022","285"
"Windham","2018","259","2019","46","2020","240","2021","363","2022","283"
"Wilton","2018","217","2019","45","2020","383","2021","488","2022","280"
"Bethel","2018","97","2019","413","2020","461","2021","488","2022","279"
"Colchester","2017","56","2018","246","2019","263","2020","309","2021","279"
"Griswold","2017","61","2018","230","2019","232","2020","250","2021","273"
"Bloomfield","2018","301","2019","199","2020","103","2021","417","2022","272"
"Monroe","2018","320","2019","330","2020","380","2021","462","2022","269"
"Cromwell","2018","68","2019","292","2020","276","2021","404","2022","265"
"Ansonia","2018","266","2019","256","2020","299","2021","354","2022","257"
"Suffield","2018","212","2019","62","2020","334","2021","365","2022","247"
"East Hampton","2018","311","2019","264","2020","265","2021","93","2022","245"
"Seymour","2018","295","2019","299","2020","188","2021","103","2022","243"
"Tolland","2018","237","2019","201","2020","85","2021","370","2022","240"
"Stafford","2018","323","2019","287","2020","133","2021","119","2022","233"
"Plymouth","2017","64","2018","287","2019","261","2020","234","2021","232"
"Wolcott","2018","277","2019","282","2020","256","2021","404","2022","231"
"Ellington","2018","271","2019","256","2020","228","2021","83","2022","230"
"Mansfield","2018","274","2019","175","2020","62","2021","307","2022","224"
"Middlebury","2017","45","2018","158","2019","179","2020","181","2021","214"
"Clinton","2018","294","2019","296","2020","244","2021","94","2022","213"
"New Fairfield","2018","240","2019","177","2020","129","2021","346","2022","211"
"Derby","2018","217","2019","191","2020","207","2021","162","2022","203"
"Coventry","2018","282","2019","205","2020","96","2021","339","2022","202"
"Weston","2018","137","2019","24","2020","245","2021","307","2022","201"
"Windsor Locks","2018","197","2019","49","2020","184","2021","293","2022","196"
"Rocky Hill","2018","294","2019","67","2020","229","2021","323","2022","191"
"Winchester","2018","219","2019","205","2020","198","2021","313","2022","189"
"Oxford","2018","240","2019","249","2020","174","2021","77","2022","182"
"Putnam","2018","227","2019","159","2020","82","2021","255","2022","171"
"Old Saybrook","2018","171","2019","50","2020","284","2021","346","2022","168"
"Woodbury","2018","140","2019","40","2020","181","2021","307","2022","167"
"Westbrook","2017","39","2018","174","2019","150","2020","173","2021","162"
"Portland","2018","196","2019","188","2020","189","2021","245","2022","162"
"Canton","2018","148","2019","61","2020","255","2021","260","2022","161"
"East Windsor","2018","65","2019","239","2020","267","2021","292","2022","159"
"East Haddam","2018","49","2019","201","2020","271","2021","261","2022","158"
"Litchfield","2018","121","2019","45","2020","275","2021","243","2022","156"
"North Branford","2018","137","2019","142","2020","132","2021","61","2022","154"
"Burlington","2018","208","2019","192","2020","275","2021","226","2022","154"
"Old Lyme","2018","211","2019","182","2020","54","2021","274","2022","153"
"Thompson","2018","199","2019","144","2020","65","2021","267","2022","151"
"Woodbridge","2018","155","2019","138","2020","123","2021","160","2022","151"
"Woodstock","2017","46","2018","186","2019","160","2020","149","2021","150"
"Redding","2018","39","2019","139","2020","230","2021","264","2022","147"
"Granby","2018","44","2019","218","2020","274","2021","270","2022","146"
"Hebron","2017","51","2018","178","2019","157","2020","228","2021","143"
"Thomaston","2017","117","2018","124","2019","131","2020","145","2021","138"
"Somers","2018","158","2019","153","2020","117","2021","50","2022","133"
"Prospect","2018","199","2019","200","2020","124","2021","51","2022","133"
"Essex","2018","133","2019","38","2020","228","2021","208","2022","130"
"Brooklyn","2018","184","2019","173","2020","158","2021","57","2022","127"
"Beacon Falls","2017","20","2018","131","2019","158","2020","142","2021","121"
"Haddam","2018","148","2019","129","2020","132","2021","49","2022","119"
"Killingworth","2017","31","2018","143","2019","119","2020","154","2021","117"
"New Hartford","2018","120","2019","129","2020","146","2021","151","2022","115"
"North Stonington","2018","106","2019","91","2020","51","2021","33","2022","112"
"Easton","2018","156","2019","145","2020","200","2021","186","2022","112"
"East Granby","2018","109","2019","123","2020","132","2021","141","2022","107"
"Preston","2018","34","2019","95","2020","120","2021","140","2022","104"
"Marlborough","2018","101","2019","120","2020","86","2021","35","2022","94"
"Salem","2017","97","2018","98","2019","78","2020","97","2021","94"
"Harwinton","2018","57","2019","32","2020","128","2021","139","2022","89"
"Plainville","2018","337","2019","326","2020","351","2021","415","2022","88"
"Lebanon","2018","96","2019","37","2020","169","2021","164","2022","87"
"Sterling","2018","20","2019","122","2020","85","2021","113","2022","85"
"Lisbon","2017","20","2018","93","2019","87","2020","87","2021","84"
"Canterbury","2018","89","2019","108","2020","79","2021","26","2022","82"
"Columbia","2017","26","2018","99","2019","99","2020","125","2021","80"
"Goshen","2018","15","2019","94","2020","120","2021","121","2022","75"
"Sherman","2018","72","2019","19","2020","119","2021","104","2022","74"
