"town","sale_amount","property_type","list_year"
"Stamford","105000000","Commercial",2019
"Stamford","100000000","Commercial",2019
"Stamford","72000000","Commercial",2019
"Stamford","27250000","Commercial",2019
"Stamford","26782504","Commercial",2019
"Stamford","24081236","Condo",2019
"Stamford","20150000","Commercial",2019
"Stamford","20150000","Vacant Land",2019
"Stamford","8500000","Commercial",2019
"Stamford","6000000","Commercial",2019
"Stamford","5250000","Commercial",2019
"Stamford","4650000","Single Family",2019
"Stamford","4190000","Single Family",2019
"Stamford","4100000","Commercial",2019
"Stamford","3550000","Single Family",2019
"Stamford","3150000","Single Family",2019
"Stamford","3135000","Single Family",2019
"Stamford","2949000","Residential",2019
"Stamford","2925000","Single Family",2019
"Stamford","2800000","Single Family",2019
"Stamford","2718187","Single Family",2019
"Stamford","2650000","Commercial",2019
"Stamford","2600000","Single Family",2019
"Stamford","2595666","Single Family",2019
"Stamford","2560000","Single Family",2019
"Stamford","2550000","Single Family",2019
"Stamford","2400000","Condo",2019
"Stamford","2400000","Single Family",2019
"Stamford","2375000","Single Family",2019
"Stamford","2300000","Condo",2019
"Stamford","2300000","Single Family",2019
"Stamford","2295000","Single Family",2019
"Stamford","2200000","Single Family",2019
"Stamford","2112500","Single Family",2019
"Stamford","2100000","Single Family",2019
"Stamford","2050000","Single Family",2019
"Stamford","2000000","Apartments",2019
"Stamford","2000000","Commercial",2019
"Stamford","2000000","Condo",2019
"Stamford","2000000","Single Family",2019
"Stamford","1965000","Condo",2019
"Stamford","1950000","Condo",2019
"Stamford","1950000","Single Family",2019
"Stamford","1912500","Single Family",2019
"Stamford","1904388","Single Family",2019
"Stamford","1900000","Single Family",2019
"Stamford","1857500","Single Family",2019
"Stamford","1825000","Residential",2019
"Stamford","1825000","Single Family",2019
"Stamford","1800000","Commercial",2019
"Stamford","1800000","Residential",2019
"Stamford","1800000","Single Family",2019
"Stamford","1795000","Single Family",2019
"Stamford","1790000","Single Family",2019
"Stamford","1775000","Residential",2019
"Stamford","1760000","Single Family",2019
"Stamford","1750000","Single Family",2019
"Stamford","1741000","Single Family",2019
"Stamford","1730612","Single Family",2019
"Stamford","1730000","Residential",2019
"Stamford","1705000","Residential",2019
"Stamford","1700000","Single Family",2019
"Stamford","1695000","Single Family",2019
"Stamford","1680000","Single Family",2019
"Stamford","1675000","Condo",2019
"Stamford","1675000","Single Family",2019
"Stamford","1666750","Residential",2019
"Stamford","1650000","Single Family",2019
"Stamford","1647500","Single Family",2019
"Stamford","1640000","Single Family",2019
"Stamford","1635000","Single Family",2019
"Stamford","1630000","Single Family",2019
"Stamford","1620000","Single Family",2019
"Stamford","1610000","Single Family",2019
"Stamford","1600000","Commercial",2019
"Stamford","1600000","Single Family",2019
"Stamford","1582000","Industrial",2019
"Stamford","1575000","Single Family",2019
"Stamford","1573000","Industrial",2019
"Stamford","1560000","Residential",2019
"Stamford","1550000","Residential",2019
"Stamford","1550000","Single Family",2019
"Stamford","1545000","Single Family",2019
"Stamford","1535000","Single Family",2019
"Stamford","1525000","Vacant Land",2019
"Stamford","1515000","Single Family",2019
"Stamford","1514000","Condo",2019
"Stamford","1512500","Single Family",2019
"Stamford","1510000","Single Family",2019
"Stamford","1500000","Commercial",2019
"Stamford","1500000","Condo",2019
"Stamford","1500000","Single Family",2019
"Stamford","1485000","Single Family",2019
"Stamford","1484000","Single Family",2019
"Stamford","1480000","Single Family",2019
"Stamford","1450000","Residential",2019
"Stamford","1450000","Single Family",2019
"Stamford","1445000","Single Family",2019
"Stamford","1442000","Single Family",2019
"Stamford","1430000","Residential",2019
"Stamford","1430000","Single Family",2019
"Stamford","1425000","Single Family",2019
"Stamford","1412500","Single Family",2019
"Stamford","1402078","Commercial",2019
"Stamford","1400000","Condo",2019
"Stamford","1400000","Residential",2019
"Stamford","1400000","Single Family",2019
"Stamford","1399000","Single Family",2019
"Stamford","1390000","Residential",2019
"Stamford","1385000","Single Family",2019
"Stamford","1380000","Single Family",2019
