"town","sale_amount","property_type","address"
"Stamford","105000000","Commercial","101 WASHINGTON BLVD"
"Stamford","100000000","Commercial","400 ATLANTIC STREET"
"Stamford","72000000","Commercial","400 ATLANTIC STREET"
"Stamford","27250000","Commercial","900 LONG RIDGE ROAD"
"Stamford","26782504","Commercial","9 WEST BROAD STREET"
"Stamford","20150000","Commercial","100 GREYROCK PLACE"
"Stamford","20150000","Commercial","230 TRESSER BLVD"
"Stamford","20150000","Vacant Land","0 GREYROCK PLACE"
"Stamford","8500000","Commercial","1111 SUMMER STREET"
"Stamford","6000000","Commercial","700 EAST MAIN STREET"
"Stamford","5250000","Commercial","1937 WEST MAIN STREET"
"Stamford","4100000","Commercial","84 WEST PARK PLACE"
"Stamford","2949000","Residential","134 DAVENPORT DRIVE"
"Stamford","2925000","Single Family","76 WALLACKS DRIVE"
"Stamford","2718187","Single Family","216 DAVENPORT DRIVE"
"Stamford","2650000","Commercial","909 HIGH RIDGE ROAD"
"Stamford","2000000","Apartments","965 HOPE STREET"
"Stamford","2000000","Commercial","1062 HOPE STREET"
"Stamford","2000000","Commercial","965 HOPE STREET"
"Stamford","1950000","Single Family","336 OCEAN DRIVE WEST"
"Stamford","1825000","Residential","1795 SHIPPAN AVENUE"
"Stamford","1800000","Commercial","1114 HOPE STREET"
"Stamford","1800000","Commercial","34 FAHEY STREET"
"Stamford","1800000","Residential","130 WALLACKS DRIVE"
"Stamford","1775000","Residential","28 WALLACKS LANE"
"Stamford","1730000","Residential","1404 SHIPPAN AVENUE"
"Stamford","1705000","Residential","1 BROAD STREET #PHD4"
"Stamford","1666750","Residential","7 HALF MOON WAY"
"Stamford","1600000","Commercial","494 ELM STREET"
"Stamford","1582000","Industrial","17 IRVING AVENUE"
"Stamford","1573000","Industrial","145 SELLECK STREET"
"Stamford","1560000","Residential","52 HEMING WAY"
"Stamford","1550000","Residential","1475 NEWFIELD AVENUE"
"Stamford","1525000","Vacant Land","LOT 2 OCEAN DRIVE WEST"
"Stamford","1500000","Commercial","655 STILLWATER ROAD"
"Stamford","1450000","Residential","1 BROAD STREET UNIT PHD2"
"Stamford","1445000","Single Family","355 WESTOVER ROAD"
"Stamford","1430000","Residential","16 RAVENGLASS DRIVE #18"
"Stamford","1430000","Single Family","22 SEA BEACH DRIVE"
"Stamford","1402078","Commercial","899 HIGH RIDGE ROAD"
"Stamford","1400000","Residential","245 LONG CLOSE ROAD"
"Stamford","1390000","Residential","134 CASCADE ROAD"
"Stamford","1365000","Residential","164 WEST LANE"
"Stamford","1300000","Commercial","60 STRAWBERRY HILL AVE #101"
"Stamford","1300000","Residential","222 ROXBURY ROAD"
"Stamford","1295000","Residential","41 GEORGIAN COURT"
"Stamford","1277845","Condo","81 CLUBHOUSE DRIVE"
"Stamford","1250000","Commercial","328 SHIPPAN AVENUE"
"Stamford","1250000","Residential","49 FERNWOOD DRIVE"
"Stamford","1245000","Industrial","0 VIADUCT ROAD"
"Stamford","1245000","Residential","215 SOUTH LAKE DRIVE"
"Stamford","1230000","Residential","82 CLUBHOUSE DRIVE"
"Stamford","1210000","Single Family","1877 NEWFIELD AVENUE"
"Stamford","1210000","Single Family","81 BLUEBERRY DRIVE"
"Stamford","1200000","Commercial","50 SUNNYSIDE AVENUE"
"Stamford","1200000","Residential","53 ARBOR ROAD"
"Stamford","1185000","Single Family","746 RIVERBANK ROAD"
"Stamford","1175104","Residential","222 ROXBURY ROAD"
"Stamford","1165000","Single Family","174 RIDGECREST ROAD"
"Stamford","1162500","Single Family","59 DAVENPORT DRIVE"
"Stamford","1150000","Residential","219 BROOKDALE ROAD"
"Stamford","1146000","Single Family","242 FOUR BROOKS ROAD"
"Stamford","1125000","Residential","679 HUNTING RIDGE ROAD"
"Stamford","1125000","Single Family","491 WESTOVER ROAD"
"Stamford","1115000","Single Family","30 DAVENPORT FARM LANE EAST"
"Stamford","1100000","Residential","3 HOLLY COVE CIRCLE"
"Stamford","1100000","Residential","39 RALSEY ROAD SOUTH"
"Stamford","1100000","Residential","39 STONE FENCE LANE"
"Stamford","1100000","Single Family","285 HAVILAND ROAD"
"Stamford","1080000","Single Family","159 LONG CLOSE ROAD"
"Stamford","1079000","Residential","37 EMERALD LANE"
"Stamford","1050000","Residential","27 STONE FENCE LANE"
"Stamford","1050000","Single Family","50 PEMBROKE DRIVE"
"Stamford","1047000","Residential","552 HAVILAND ROAD"
"Stamford","1040000","Condo","125 HAVILAND ROAD"
"Stamford","1020000","Residential","87 DOLPHIN COVE QUAY"
"Stamford","1015000","Residential","61 LAKEWOOD DRIVE"
"Stamford","1000000","Commercial","29 BANK STREET"
"Stamford","1000000","Residential","551 WEBBS HILL ROAD"
"Stamford","999000","Single Family","324 ERSKINE ROAD"
"Stamford","970000","Single Family","71 NORTH LAKE DRIVE"
"Stamford","965000","Single Family","3090 HIGH RIDGE ROAD"
"Stamford","962000","Single Family","498 DEN ROAD"
"Stamford","960000","Residential","1 BROAD STREET UNIT PH33A"
"Stamford","958000","Residential","166 EDWARD PLACE"
"Stamford","954000","Residential","279 HUNTING RIDGE ROAD"
"Stamford","950000","Commercial","458 WEST MAIN STREET"
"Stamford","950000","Residential","335 MAYAPPLE ROAD"
"Stamford","950000","Residential","789 HIGH RIDGE ROAD"
"Stamford","950000","Single Family","160 EDWARD PLACE"
"Stamford","945000","Residential","333 ROCK RIMMON ROAD"
"Stamford","940000","Residential","79 OCEAN DRIVE EAST"
"Stamford","932500","Single Family","75 SEA BEACH DRIVE"
"Stamford","925000","Single Family","150 DAVENPORT FARM LANE WEST"
"Stamford","925000","Single Family","25 SETTLERS TRAIL"
"Stamford","925000","Single Family","97 SAGAMORE ROAD"
"Stamford","920000","Single Family","803 STILLWATER ROAD"
"Stamford","900000","Residential","1 BROAD STREET #PH28A"
"Stamford","900000","Residential","1 BROAD STREET UNIT PH31F"
"Stamford","900000","Single Family","211 CLUB ROAD"
"Stamford","897250","Residential","1 BROAD STREET # PH32A"
"Stamford","890000","Single Family","70 BLUE SPRUCE LANE"
"Stamford","885000","Residential","239 EDEN ROAD"
"Stamford","880000","Single Family","49 CROFTS LANE"
"Stamford","876000","Residential","22 MALTBIE AVENUE"
"Stamford","875500","Residential","1 BROAD STREET #26A"
"Stamford","875000","Single Family","162 HAVILAND ROAD"
"Stamford","875000","Single Family","535 HUNTING RIDGE ROAD"
"Stamford","870000","Residential","180 DOGWOOD LANE"
"Stamford","865000","Residential","1 BROAD STREET #PH23A"
"Stamford","865000","Residential","110 FISHING TRAIL"
"Stamford","860000","Single Family","48 VAN RENSSELAER AVE"
"Stamford","860000","Single Family","525 WESTOVER ROAD"
"Stamford","855000","Condo","77 HAVEMEYER LANE # 52"
"Stamford","855000","Residential","16 WOODLEY ROAD"
"Stamford","855000","Residential","168 CEDAR WOOD ROAD"
"Stamford","855000","Residential","1756 HIGH RIDGE ROAD"
"Stamford","850000","Residential","530 ROXBURY ROAD"
"Stamford","850000","Single Family","111 DOWNS AVENUE"
"Stamford","850000","Single Family","85 OLD NORTH STAMFORD ROAD"
"Stamford","845000","Residential","164 FAIRWAY DRIVE"
"Stamford","845000","Single Family","623 WESTOVER ROAD"
"Stamford","841000","Single Family","188 OCEAN DRIVE EAST"
"Stamford","840000","Residential","1 BROAD STREET UNIT PH25A"
"Stamford","835000","Condo","77 HAVEMEYER LANE # 7"
"Stamford","835000","Single Family","37 OCEAN DRIVE WEST"
"Stamford","833250","Residential","7 HALF MOON WAY"
"Stamford","830000","Condo","77 HAVEMEYER LANE # 9"
"Stamford","825000","Single Family","146 THORNRIDGE DRIVE"
"Stamford","825000","Single Family","85 DAVENPORT FARM LANE EAST"
"Stamford","817500","Single Family","16 WALNUT RIDGE LANE"
"Stamford","815000","Single Family","64 TALLY HO LANE"
"Stamford","807500","Single Family","26 RALSEY ROAD SOUTH"
"Stamford","807000","Residential","140 BENTWOOD DRIVE"
"Stamford","802000","Single Family","37 DAVENPORT DRIVE"
"Stamford","800000","Residential","121 CARRIAGE DRIVE"
"Stamford","800000","Residential","156 WEST LANE"
"Stamford","800000","Residential","71 BRIAR WOODS TRAIL"
"Stamford","800000","Residential","804 RIVERBANK ROAD"
"Stamford","800000","Single Family","349 HAVILAND ROAD"
"Stamford","795000","Single Family","321 STAMFORD AVENUE"
"Stamford","790000","Condo","1 BROAD STREET UNIT PH23F"
"Stamford","790000","Condo","77 HAVEMEYER LANE #95"
"Stamford","790000","Residential","24 WALLACKS DRIVE"
"Stamford","780000","Single Family","16 WALNUT RIDGE LANE"
"Stamford","777500","Single Family","358 WILDWOOD ROAD"
"Stamford","775000","Residential","48 DORAL FARM ROAD"
"Stamford","775000","Single Family","48 WOODBINE ROAD"
"Stamford","775000","Single Family","80 FAWNFIELD ROAD"
"Stamford","774482","Single Family","592 HAVILAND ROAD"
"Stamford","767000","Residential","44 WOODBINE ROAD"
"Stamford","766000","Residential","16 BRIAR BRAE ROAD"
"Stamford","765000","Residential","325 HYCLIFF TERRACE"
"Stamford","760000","Residential","7 HOLLY COVE CIRCLE"
"Stamford","750000","Condo","1 BROAD STREET # 20A"
"Stamford","750000","Residential","1 BROAD STREET #18A"
"Stamford","750000","Residential","153 INTERLAKEN ROAD"
"Stamford","750000","Residential","43 DAVENPORT DRIVE"
"Stamford","750000","Single Family","213 WEED AVENUE"
"Stamford","750000","Single Family","95 PARTRIDGE ROAD"
"Stamford","745000","Condo","77 HAVENMEYER LANE #84"
"Stamford","740000","Residential","247 OLD LONG RIDGE ROAD"
"Stamford","740000","Single Family","60 BUCKINGHAM DRIVE"
"Stamford","735000","Condo","25 FOREST STREET UNIT 16B"
"Stamford","735000","Single Family","286 EAST MIDDLE PATENT ROAD"
