Town,Year,Change
Bridgeport,2022,943
Bridgeport,2021,-608
Bridgeport,2020,-742
Bridgeport,2019,89
Bridgeport,2018,-45
Hamden,2022,630
Hamden,2021,-406
Hamden,2020,-216
Hamden,2019,-98
Hamden,2018,-37
Fairfield,2022,571
Fairfield,2021,-722
Fairfield,2020,-77
Fairfield,2019,38
Fairfield,2018,-58
Southington,2022,437
Southington,2021,-391
Southington,2020,-167
Southington,2019,-32
Southington,2018,-14
West Haven,2022,408
West Haven,2021,-112
West Haven,2020,-369
West Haven,2019,-50
West Haven,2018,8
Wallingford,2022,387
Wallingford,2021,-278
Wallingford,2020,-282
Wallingford,2019,35
Wallingford,2018,-28
Westport,2022,348
Westport,2021,-225
Westport,2020,-68
Westport,2019,-68
Westport,2018,-57
New Milford,2022,314
New Milford,2021,-181
New Milford,2020,-185
New Milford,2019,-88
New Milford,2018,78
Newington,2022,283
Newington,2021,-123
Newington,2020,-157
Newington,2019,-48
Newington,2018,-29
Ledyard,2022,170
Ledyard,2021,-138
Ledyard,2020,-79
Ledyard,2019,4
Ledyard,2018,2
East Hampton,2022,152
East Hampton,2021,-172
East Hampton,2020,1
East Hampton,2019,-47
East Hampton,2018,28
Ellington,2022,147
Ellington,2021,-145
Ellington,2020,-28
Ellington,2019,-15
Ellington,2018,-19
Seymour,2022,140
Seymour,2021,-85
Seymour,2020,-111
Seymour,2019,4
Seymour,2018,2
Clinton,2022,119
Clinton,2021,-150
Clinton,2020,-52
Clinton,2019,2
Clinton,2018,10
Stafford,2022,114
Stafford,2021,-14
Stafford,2020,-154
Stafford,2019,-36
Stafford,2018,89
Oxford,2022,105
Oxford,2021,-97
Oxford,2020,-75
Oxford,2019,9
Oxford,2018,20
North Branford,2022,93
North Branford,2021,-71
North Branford,2020,-10
North Branford,2019,5
North Branford,2018,26
Somers,2022,83
Somers,2021,-67
Somers,2020,-36
Somers,2019,-5
Somers,2018,12
Prospect,2022,82
Prospect,2021,-73
Prospect,2020,-76
Prospect,2019,1
Prospect,2018,15
North Stonington,2022,79
North Stonington,2021,-18
North Stonington,2020,-40
North Stonington,2019,-15
North Stonington,2018,-11
Haddam,2022,70
Haddam,2021,-83
Haddam,2020,3
Haddam,2019,-19
Haddam,2018,-17
Brooklyn,2022,70
Brooklyn,2021,-101
Brooklyn,2020,-15
Brooklyn,2019,-11
Brooklyn,2018,23
Marlborough,2022,59
Marlborough,2021,-51
Marlborough,2020,-34
Marlborough,2019,19
Marlborough,2018,-27
Canterbury,2022,56
Canterbury,2021,-53
Canterbury,2020,-29
Canterbury,2019,19
Canterbury,2018,-8
Voluntown,2022,55
Voluntown,2021,-30
Voluntown,2020,-15
Voluntown,2019,11
Voluntown,2018,-8
Derby,2022,41
Derby,2021,-45
Derby,2020,16
Derby,2019,-26
Derby,2018,23
Salisbury,2022,41
Salisbury,2021,-64
Salisbury,2020,20
Salisbury,2019,-18
Salisbury,2018,-13
Durham,2022,37
Durham,2021,-77
Durham,2020,-24
Durham,2019,-2
Durham,2018,11
Middlebury,2021,33
Middlebury,2020,2
Middlebury,2019,21
Middlebury,2018,113
Middlebury,2017,-69
Deep River,2022,31
Deep River,2021,-29
Deep River,2020,-52
Deep River,2019,23
Deep River,2018,4
Pomfret,2022,29
Pomfret,2021,-52
Pomfret,2020,-10
Pomfret,2019,18
Pomfret,2018,-12
Hartford,2021,28
Hartford,2020,-46
Hartford,2019,44
Hartford,2018,725
Hartford,2017,-382
Griswold,2021,23
Griswold,2020,18
Griswold,2019,2
Griswold,2018,169
Griswold,2017,-107
Greenwich,2021,20
Greenwich,2020,377
Greenwich,2019,-84
Greenwich,2018,12
Greenwich,2017,781
Montville,2021,13
Montville,2020,-58
Montville,2019,28
Montville,2018,298
Montville,2017,-228
Hartland,2022,5
Hartland,2021,-5
Hartland,2020,-14
Hartland,2019,-2
Hartland,2018,3
Andover,2021,2
Andover,2020,-18
Andover,2019,-6
Andover,2018,63
Andover,2017,-27
Woodstock,2021,1
Woodstock,2020,-11
Woodstock,2019,-26
Woodstock,2018,140
Woodstock,2017,-103
Colebrook,2022,0
Colebrook,2021,-2
Colebrook,2020,25
Colebrook,2019,-1
Colebrook,2018,-13
Plymouth,2021,-2
Plymouth,2020,-27
Plymouth,2019,-26
Plymouth,2018,223
Plymouth,2017,-84
Lisbon,2021,-3
Lisbon,2020,0
Lisbon,2019,-6
Lisbon,2018,73
Lisbon,2017,-23
Salem,2021,-3
Salem,2020,19
Salem,2019,-20
Salem,2018,1
Salem,2017,15
Sprague,2022,-5
Sprague,2021,6
Sprague,2020,-9
Sprague,2019,45
Sprague,2018,-17
Canaan,2022,-5
Canaan,2021,2
Canaan,2020,-1
Canaan,2019,29
Canaan,2018,-18
Eastford,2022,-6
Eastford,2021,-2
Eastford,2020,37
Eastford,2019,-6
Eastford,2018,-11
Barkhamsted,2022,-7
Barkhamsted,2021,-19
Barkhamsted,2020,82
Barkhamsted,2019,-50
Barkhamsted,2018,9
Thomaston,2021,-7
Thomaston,2020,14
Thomaston,2019,7
Thomaston,2018,7
Thomaston,2017,9
Union,2022,-7
Union,2021,13
Union,2020,-6
Union,2018,-4
Union,2017,14
Chaplin,2022,-9
Chaplin,2021,-9
Chaplin,2020,44
Chaplin,2019,-28
Chaplin,2018,-5
Bozrah,2022,-9
Bozrah,2021,-2
Bozrah,2020,-1
Bozrah,2019,29
Bozrah,2018,-7
Woodbridge,2022,-9
Woodbridge,2021,37
Woodbridge,2020,-15
Woodbridge,2019,-17
