Town,Year,Transactions
Stamford,2022,1775
Stamford,2021,2671
Stamford,2020,1959
Stamford,2019,1769
Stamford,2018,457
Waterbury,2022,1722
Waterbury,2021,2416
Waterbury,2020,1649
Waterbury,2019,1619
Waterbury,2018,443
Bridgeport,2022,1614
Bridgeport,2021,671
Bridgeport,2020,1279
Bridgeport,2019,2021
Bridgeport,2018,1932
Greenwich,2021,1333
Greenwich,2020,1313
Greenwich,2019,936
Greenwich,2018,1020
Greenwich,2017,1008
Norwalk,2022,1220
Norwalk,2021,1928
Norwalk,2020,1449
Norwalk,2019,290
Norwalk,2018,1135
Danbury,2022,1109
Danbury,2021,1629
Danbury,2020,1348
Danbury,2019,1284
Danbury,2018,347
Bristol,2022,1022
Bristol,2021,1391
Bristol,2020,1231
Bristol,2019,1091
Bristol,2018,285
New Haven,2022,1012
New Haven,2021,1428
New Haven,2020,1048
New Haven,2019,1105
New Haven,2018,979
Hartford,2021,980
Hartford,2020,952
Hartford,2019,998
Hartford,2018,954
Hartford,2017,229
Hamden,2022,968
Hamden,2021,338
Hamden,2020,744
Hamden,2019,960
Hamden,2018,1058
Meriden,2021,945
Meriden,2020,1015
Meriden,2019,960
Meriden,2018,899
Meriden,2017,925
West Hartford,2022,933
West Hartford,2021,1418
West Hartford,2020,937
West Hartford,2019,1070
West Hartford,2018,1065
Milford,2021,928
Milford,2020,1052
Milford,2019,1020
Milford,2018,1114
Milford,2017,232
Manchester,2021,903
Manchester,2020,989
Manchester,2019,927
Manchester,2018,1025
Manchester,2017,267
Stratford,2022,875
Stratford,2021,1309
Stratford,2020,427
Stratford,2019,939
Stratford,2018,1209
New Britain,2022,869
New Britain,2021,1284
New Britain,2020,968
New Britain,2019,986
New Britain,2018,249
Fairfield,2022,868
Fairfield,2021,297
Fairfield,2020,1019
Fairfield,2019,1096
Fairfield,2018,1058
Norwich,2022,769
Norwich,2021,1066
Norwich,2020,819
Norwich,2019,205
Norwich,2018,577
Shelton,2021,721
Shelton,2020,766
Shelton,2019,771
Shelton,2018,719
Shelton,2017,669
East Hartford,2021,696
East Hartford,2020,816
East Hartford,2019,839
East Hartford,2018,834
East Hartford,2017,936
Torrington,2022,694
Torrington,2021,1061
Torrington,2020,329
Torrington,2019,637
Torrington,2018,818
Enfield,2021,692
Enfield,2020,844
Enfield,2019,771
Enfield,2018,694
Enfield,2017,183
Southington,2022,688
Southington,2021,251
Southington,2020,642
Southington,2019,809
Southington,2018,841
West Haven,2022,672
West Haven,2021,264
West Haven,2020,376
West Haven,2019,745
West Haven,2018,795
Middletown,2022,650
Middletown,2021,1035
Middletown,2020,755
Middletown,2019,789
Middletown,2018,202
Wallingford,2022,615
Wallingford,2021,228
Wallingford,2020,506
Wallingford,2019,788
Wallingford,2018,753
Groton,2021,583
Groton,2020,668
Groton,2019,637
Groton,2018,626
Groton,2017,145
Trumbull,2021,556
Trumbull,2020,640
Trumbull,2019,604
Trumbull,2018,605
Trumbull,2017,557
East Haven,2021,529
East Haven,2020,617
East Haven,2019,579
East Haven,2018,597
East Haven,2017,146
New Milford,2022,520
New Milford,2021,206
New Milford,2020,387
New Milford,2019,572
New Milford,2018,660
Westport,2022,514
Westport,2021,166
Westport,2020,391
Westport,2019,459
Westport,2018,527
Glastonbury,2022,507
Glastonbury,2021,848
Glastonbury,2020,727
Glastonbury,2019,719
Glastonbury,2018,178
Branford,2022,490
Branford,2021,771
Branford,2020,220
Branford,2019,469
Branford,2018,657
Naugatuck,2022,486
Naugatuck,2021,790
Naugatuck,2020,626
Naugatuck,2019,130
Naugatuck,2018,386
Vernon,2021,483
Vernon,2020,498
Vernon,2019,530
Vernon,2018,529
Vernon,2017,123
South Windsor,2022,473
South Windsor,2021,682
South Windsor,2020,622
South Windsor,2019,589
South Windsor,2018,128
Newington,2022,454
Newington,2021,171
Newington,2020,294
Newington,2019,451
Newington,2018,499
Windsor,2022,447
Windsor,2021,658
Windsor,2020,427
Windsor,2019,83
Windsor,2018,392
Ridgefield,2022,429
Ridgefield,2021,702
Ridgefield,2020,711
Ridgefield,2019,432
Ridgefield,2018,110
Farmington,2022,426
Farmington,2021,732
Farmington,2020,604
Farmington,2019,482
Farmington,2018,116
Newtown,2022,412
Newtown,2021,750
Newtown,2020,668
Newtown,2019,497
Newtown,2018,129
Wethersfield,2022,390
Wethersfield,2021,656
Wethersfield,2020,409
Wethersfield,2019,87
Wethersfield,2018,375
East Lyme,2021,379
East Lyme,2020,495
East Lyme,2019,442
East Lyme,2018,416
East Lyme,2017,115
Southbury,2022,375
Southbury,2021,628
Southbury,2020,640
Southbury,2019,544
Southbury,2018,124
Cheshire,2022,374
Cheshire,2021,559
Cheshire,2020,501
Cheshire,2019,117
Cheshire,2018,427
New London,2022,369
New London,2021,502
New London,2020,372
New London,2019,101
New London,2018,397
Watertown,2022,368
Watertown,2021,458
Watertown,2020,341
Watertown,2019,73
Watertown,2018,290
Guilford,2022,368
Guilford,2021,569
Guilford,2020,528
Guilford,2019,452
Guilford,2018,101
Simsbury,2022,357
Simsbury,2021,607
Simsbury,2020,488
Simsbury,2019,468
Simsbury,2018,94
Waterford,2022,356
Waterford,2021,605
Waterford,2020,401
Waterford,2019,440
Waterford,2018,101
Avon,2022,355
Avon,2021,504
Avon,2020,477
Avon,2019,107
Avon,2018,308
Montville,2021,353
Montville,2020,340
Montville,2019,398
Montville,2018,370
Montville,2017,72
Killingly,2022,348
Killingly,2021,482
Killingly,2020,391
Killingly,2019,116
Killingly,2018,394
North Haven,2022,344
North Haven,2021,490
North Haven,2020,395
North Haven,2019,375
North Haven,2018,356
New Canaan,2022,344
New Canaan,2021,664
New Canaan,2020,507
New Canaan,2019,80
New Canaan,2018,280
Darien,2022,327
Darien,2021,584
Darien,2020,519
Darien,2019,71
Darien,2018,273
Brookfield,2021,315
Brookfield,2020,426
Brookfield,2019,369
Brookfield,2018,352
